timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-01-07T17:45:54.101723,-1.1399999857,9.7899999619,-0.3599999845,-0.2500000000,0.4375000000,1.3750000000,-12.2500000000,-19.5000000000,-19.5000000000
2025-01-07T17:45:54.180039,-0.8499999642,9.7799997330,-0.4299999774,-0.5000000000,-0.3750000000,2.6875000000,-12.2500000000,-19.1875000000,-19.5000000000
2025-01-07T17:45:54.261766,-0.7699999809,9.8099994659,-0.3499999940,-0.8750000000,0.0625000000,0.1875000000,-12.2500000000,-20.1875000000,-19.2500000000
2025-01-07T17:45:54.343540,-0.9799999595,9.7699995041,-0.3499999940,-0.5625000000,-0.2500000000,0.7500000000,-12.0000000000,-20.1875000000,-20.7500000000
2025-01-07T17:45:54.420801,-0.8899999857,9.8000001907,-0.3299999833,-0.2500000000,0.0625000000,0.0000000000,-12.2500000000,-20.1875000000,-20.7500000000
2025-01-07T17:45:54.501844,-0.8999999762,9.7899999619,-0.3299999833,-0.0625000000,-0.1250000000,-0.1250000000,-13.0000000000,-19.8750000000,-20.7500000000
2025-01-07T17:45:54.584752,-0.8399999738,9.7699995041,-0.3100000024,0.0625000000,0.1250000000,0.3750000000,-12.2500000000,-21.0000000000,-21.1875000000
2025-01-07T17:45:54.663277,-0.8999999762,9.7699995041,-0.3199999928,0.1875000000,0.1875000000,0.0000000000,-13.0000000000,-20.1875000000,-19.5625000000
2025-01-07T17:45:54.744018,-0.8100000024,9.7899999619,-0.3299999833,0.0000000000,-0.0625000000,0.6250000000,-13.0000000000,-19.8750000000,-20.0625000000
2025-01-07T17:45:54.825365,-0.8199999928,9.7799997330,-0.2999999821,0.5625000000,-0.3125000000,1.2500000000,-12.6875000000,-20.1875000000,-22.0000000000
2025-01-07T17:45:54.904344,-0.7599999905,9.8299999237,-0.3999999762,0.6250000000,-0.2500000000,-0.1875000000,-13.0000000000,-19.8750000000,-20.7500000000
2025-01-07T17:45:54.983908,-1.0000000000,9.8099994659,-0.4699999988,0.4375000000,0.1875000000,-0.8125000000,-13.0000000000,-19.5000000000,-20.3750000000
2025-01-07T17:45:55.064528,-0.8899999857,9.8199996948,-0.3499999940,-0.4375000000,0.0000000000,0.3750000000,-13.3750000000,-20.5625000000,-19.5625000000
2025-01-07T17:45:55.152842,-0.9300000072,9.7799997330,-0.3599999845,-0.3125000000,0.1875000000,0.3750000000,-12.2500000000,-20.5625000000,-20.3750000000
2025-01-07T17:45:55.235584,-0.8899999857,9.7799997330,-0.3999999762,-0.5625000000,0.3750000000,-0.1250000000,-13.0000000000,-20.5625000000,-20.3750000000
2025-01-07T17:45:55.316714,-0.8100000024,9.8099994659,-0.3299999833,-0.5625000000,0.0000000000,-0.1250000000,-13.3750000000,-19.8750000000,-20.0000000000
2025-01-07T17:45:55.397102,-0.8399999738,9.7699995041,-0.2899999917,-0.2500000000,-0.1250000000,-0.5000000000,-12.2500000000,-19.8750000000,-19.5625000000
2025-01-07T17:45:55.484345,-0.8999999762,9.7899999619,-0.2999999821,0.0625000000,-0.4375000000,-0.3125000000,-13.7500000000,-20.1875000000,-19.2500000000
2025-01-07T17:45:55.567359,-0.8299999833,9.8000001907,-0.3599999845,0.1875000000,-0.3750000000,0.6250000000,-12.6875000000,-20.1875000000,-19.5625000000
2025-01-07T17:45:55.650892,-0.8299999833,9.8000001907,-0.3799999952,0.1250000000,0.0000000000,-0.1875000000,-12.6875000000,-21.0000000000,-20.7500000000
2025-01-07T17:45:55.729605,-0.8999999762,9.7899999619,-0.3400000036,-0.1250000000,0.0625000000,-0.6875000000,-12.6875000000,-19.0625000000,-21.5625000000
2025-01-07T17:45:55.809749,-0.8599999547,9.7899999619,-0.3199999928,-0.1250000000,0.0625000000,-0.3750000000,-12.6875000000,-20.1875000000,-20.0625000000
2025-01-07T17:45:55.889831,-0.8899999857,9.7899999619,-0.2999999821,-0.1875000000,0.6250000000,-0.3750000000,-13.3750000000,-19.8750000000,-21.5625000000
2025-01-07T17:45:55.968885,-0.6800000072,9.7799997330,-0.3299999833,-0.1875000000,1.1250000000,-0.8750000000,-13.0000000000,-20.5625000000,-20.7500000000
2025-01-07T17:45:56.051414,-0.9199999571,9.8000001907,-0.3499999940,0.0000000000,-0.1250000000,-0.0625000000,-13.7500000000,-19.5000000000,-20.6875000000
2025-01-07T17:45:56.131055,-0.8499999642,9.7799997330,-0.2699999809,0.0000000000,0.5625000000,-0.1250000000,-12.2500000000,-19.8750000000,-20.2500000000
2025-01-07T17:45:56.215095,-0.9199999571,9.7799997330,-0.3100000024,0.3125000000,0.0625000000,0.3125000000,-13.3750000000,-19.8750000000,-20.6875000000
2025-01-07T17:45:56.292211,-0.9499999881,9.8000001907,-0.3400000036,0.0000000000,0.0000000000,0.5625000000,-13.0000000000,-19.8750000000,-19.8750000000
2025-01-07T17:45:56.371972,-0.9300000072,9.7699995041,-0.3100000024,-0.1875000000,0.5625000000,-0.1875000000,-13.0000000000,-19.8750000000,-19.5000000000
2025-01-07T17:45:56.452707,-0.7999999523,9.8099994659,-0.3499999940,-0.3125000000,0.1875000000,0.1250000000,-12.6875000000,-19.5000000000,-20.2500000000
2025-01-07T17:45:56.551917,-0.8999999762,9.7799997330,-0.3100000024,-0.3125000000,0.1250000000,-0.1875000000,-12.2500000000,-19.5000000000,-20.6875000000
2025-01-07T17:45:56.650230,-1.0000000000,9.7799997330,-0.2399999946,-0.0625000000,0.0000000000,-0.1250000000,-13.0000000000,-20.1875000000,-21.0625000000
2025-01-07T17:45:56.729698,-0.7799999714,9.7899999619,-0.3100000024,0.0625000000,-0.1875000000,-0.0625000000,-12.2500000000,-19.5000000000,-21.0625000000
2025-01-07T17:45:56.812723,-1.0099999905,9.7899999619,-0.2899999917,0.3750000000,0.0000000000,0.8125000000,-12.6875000000,-19.8750000000,-19.0625000000
2025-01-07T17:45:56.895949,-0.8799999952,9.8099994659,-0.2899999917,0.5000000000,-0.3750000000,0.5625000000,-12.0000000000,-19.5000000000,-20.2500000000
2025-01-07T17:45:56.976409,-0.9599999785,9.7899999619,-0.3299999833,0.0000000000,0.3750000000,-0.3125000000,-12.2500000000,-19.1875000000,-20.6875000000
2025-01-07T17:45:57.056415,-0.8999999762,9.7699995041,-0.3299999833,-0.2500000000,0.5625000000,0.1875000000,-12.2500000000,-20.5625000000,-20.6875000000
2025-01-07T17:45:57.136177,-0.8700000048,9.7899999619,-0.3100000024,0.0000000000,-0.0625000000,0.3750000000,-13.0000000000,-19.8750000000,-19.5000000000
2025-01-07T17:45:57.216527,-0.9499999881,9.8000001907,-0.3700000048,0.1250000000,-0.6250000000,1.1250000000,-13.3750000000,-19.1875000000,-19.8750000000
2025-01-07T17:45:57.297268,-0.8799999952,9.7799997330,-0.3299999833,-0.6250000000,-0.1875000000,0.0625000000,-12.2500000000,-19.5000000000,-20.6875000000
2025-01-07T17:45:57.376972,-0.9799999595,9.7899999619,-0.2299999893,-0.6250000000,0.7500000000,0.1250000000,-12.6875000000,-19.8750000000,-20.6875000000
2025-01-07T17:45:57.457879,-0.8999999762,9.7699995041,-0.2699999809,-0.1875000000,0.1875000000,1.8750000000,-12.2500000000,-20.1875000000,-20.6875000000
2025-01-07T17:45:57.532355,-0.6899999976,9.8099994659,-0.3499999940,0.1250000000,-1.2500000000,1.9375000000,-13.3750000000,-19.8750000000,-20.6875000000
2025-01-07T17:45:57.608843,-0.8100000024,9.8000001907,-0.3199999928,-0.4375000000,0.1875000000,0.8750000000,-12.6875000000,-19.8750000000,-21.0625000000
2025-01-07T17:45:57.693140,-0.7400000095,9.7899999619,-0.2500000000,-0.2500000000,-0.3750000000,0.7500000000,-12.2500000000,-19.8750000000,-21.5000000000
